Brand,Name,Rating,Review,Harga_Diskon,Harga_Asli
Maybelline,Superstay Vinyl Ink Tint,4.7,5000,139900,139900
Skintific,Perfect Stay Velvet Matte Cushion,4.8,758,140700,168840
Dear Me Beauty,Serum Lip Tint,4.6,4300,35280,40670
Skintific,Ultra Cover Powder Foundation,4.8,294,124050,148860
barenbliss,Peach Makes Perfect Lip Tint,4.6,5800,65610,72900
Skintific,Cover All Perfect Cushion,4.7,3500,167832,209790
Maybelline,Superstay Matte Ink,4.6,5800,138900,138900
Skintific,REFILL Cover All Perfect Cushion,4.8,1100,115718,154290
Studio Tropik,Dreamsetter Setting Spray,4.7,2900,60357,180653
Glad2Glow,Perfect Cover Cushion,4.8,404,98100,109000
Skintific,REFILL Perfect Stay Velvet Matte Cushion,4.9,310,99075,118890
ESQA,Flawless Liquid Concealer,4.7,5100,120000,120000
ESQA,Wonder Crush Serum Liquid Blush,4.8,1000,99000,109000
Make Over,Powerstay Glazed Lock Lip Pigment,4.7,475,134100,149000
Studio Tropik,Dreamsetter Glowy Setting Spray,4.6,2100,60906,180653
Maybelline,Lash Sensational Sky High Mascara,4.8,1700,154900,154900
Skintific,Cover Perfect Serum Concealer,4.8,400,76930,109900
Maybelline,Superstay Teddy Tint,4.6,225,140900,140900
Mother of Pearl,"G.W.S. (Gleaming, Wonderful, Shiny) Plump Gloss",4.6,1500,89100,99000
Mother of Pearl,AM to PM Colorfast Hypertint,4.6,1400,88110,89100
ESQA,Powder Blush,4.7,4200,98000,105000
Loreal Paris,Infallible Matte Resistance Liquid Lipstick,4.8,298,156400,156400
Dazzle Me,Get a Grip! Makeup Setting Spray Fix,4.7,212,38610,42900
barenbliss,Lily Makes Luminous Glow Tint,4.7,547,65610,72900
Rose All Day,Lip Mousse Records,4.7,1900,81180,99000
TIMEPHORIA,STELLAR DUST LIP STAIN,4.6,99,132000,132000
ESQA,Goddess Eyeshadow Palette,4.8,4600,156000,195000
ESQA,Setting Powder,4.7,2600,114750,135000
Mother of Pearl,Browgraphy Angled Precision Brow Pen,4.8,210,92650,98100
Make Over,Powerstay Transferproof Matte Lip cream,4.7,2200,128700,143000
Mother of Pearl,Anti Cakey Lock and Smooth Gripping Primer,4.7,3000,161100,179000
barenbliss,Roll to Volume Mascara,4.8,807,74610,82900
Skintific,Lock The Look Setting Spray,4.8,178,128880,143200
Luxcrime,Luxcrime Ultra Light Lip Stain,4.7,440,71100,79000
Maybelline,Volum Express Hyper Curl Mascara,4.6,8300,89900,89900
ESQA,Minimalist Blurring Serum Skin Tint SPF 35 PA++,4.8,265,129000,169000
ESQA,Brow Pomade Pencil,4.6,3500,85500,94500
Rose All Day,The Realest Lightweight Skin Tint,4.6,1200,71550,159000
barenbliss,Cherry Makes Cheerful Lip Velvet,4.6,2500,65610,72900
Make Over,Color Stick Matte Crayon,4.5,1500,103500,115000
Mother of Pearl,My Perfect Nude Lip Cream,4.7,467,107100,119000
Maybelline,Superstay Matte Ink Un-Nude Liquid Lipstick,4.6,3800,138900,138900
Holika Holika,Heart Crush Glow Tint Air,4.6,2100,120000,120000
Luxcrime,LUXCRIME Blur & Cover Two Way Cake : Oil Control,4.8,296,122550,129000
ESQA,Flawless Cushion Serum SPF 50+ PA+++,4.6,2300,160000,208000
Azarine,Tinted Lippie Cake,4.6,1400,44100,49000
Wardah,Glasting Liquid Lip,4.7,238,87300,97000
Mother of Pearl,Microblur Translucent Loose Powder,4.7,4700,127200,143100
Innisfree,Auto Eyebrow Pencil 0.3g,4.7,454,48800,64600
barenbliss,Korean Bloomatte Full Bloom Transferproof Matte Tint LONGLAST 12H,4.6,1500,65610,72900
Sea Makeup,Lacquer Shake Lip Ink,4.6,297,66700,81200
barenbliss,Apple Makes Adorable Mousse Tint,4.7,421,65610,72900
ESQA,Flawless Powder Foundation,4.6,2500,119000,135000
Rose All Day,The Realest Lightweight Concealer,4.7,2900,111200,125100
Mother of Pearl,Bulletproof Set and Protect Continuous Mist - Satin,4.8,106,90300,129000
Sea Makeup,Acne Cover & Smooth Two Way Cake,4.7,578,89700,109200
ESQA,Slick Drip Serum Lip Tint,4.6,844,79000,79000
barenbliss,Roll to Length Steel Mascara,4.8,147,74610,82900
ESQA,Lip Gloss,4.5,3100,75000,100000
BLP Beauty,Lip Liner,4.7,221,95000,95000
Glad2Glow,Perfect Blurring Powder Foundation,4.7,62,88200,98000
ESQA,Waterproof Intense Eyeliner,4.7,2000,112500,125000
Luxcrime,Luxcrime Sponge-Tip Seamless Liquid Contour,4.6,170,94050,99000
Laneige,NEO Cushion Glow,4.8,437,418000,440000
Sea Makeup,Gleam Luster Tinted Lip Balm,4.7,94,59800,81200
Mother of Pearl,Bulletproof Set and Protect Continuous Mist - Matte,4.7,96,90300,129000
Sea Makeup,Slick Cover Jelly Tint,4.7,540,55200,67200
Mother of Pearl,Vantablack Waterproof Precision Liner,4.5,182,87120,99000
Skintific,Perfect Stay Velvet Matte Cushion [Denim Limited Edition],4.8,177,168840,187600
Loreal Paris,Voluminous Panorama Waterproof Mascara,4.8,97,164900,164900
