Brand,Name,Harga,Rating,Review
Maybelline,Superstay Vinyl Ink Tint,Rp139.900,4.7,(5k)
Skintific,Perfect Stay Velvet Matte Cushion,Rp140.700-Rp168.840,4.8,(758)
Dear Me Beauty,Serum Lip Tint,Rp35.280-Rp40.670,4.6,"(4,3k)"
Skintific,Ultra Cover Powder Foundation,Rp124.050-Rp148.860,4.8,(294)
barenbliss,Peach Makes Perfect Lip Tint,Rp65.610Rp72.900,4.6,"(5,8k)"
Skintific,Cover All Perfect Cushion,Rp167.832Rp209.790,4.7,"(3,5k)"
Maybelline,Superstay Matte Ink,Rp138.900,4.6,"(5,8k)"
Skintific,REFILL Cover All Perfect Cushion,Rp115.718Rp154.290,4.8,"(1,1k)"
Studio Tropik,Dreamsetter Setting Spray,Rp60.357-Rp180.653,4.7,"(2,9k)"
Glad2Glow,Perfect Cover Cushion,Rp98.100Rp109.000,4.8,(404)
Skintific,REFILL Perfect Stay Velvet Matte Cushion,Rp99.075-Rp118.890,4.9,(310)
ESQA,Flawless Liquid Concealer,Rp120.000,4.7,"(5,1k)"
ESQA,Wonder Crush Serum Liquid Blush,Rp99.000Rp109.000,4.8,(1k)
Make Over,Powerstay Glazed Lock Lip Pigment,Rp134.100-Rp149.000,4.7,(475)
Studio Tropik,Dreamsetter Glowy Setting Spray,Rp60.906-Rp180.653,4.6,"(2,1k)"
Maybelline,Lash Sensational Sky High Mascara,Rp154.900,4.8,"(1,7k)"
Skintific,Cover Perfect Serum Concealer,Rp76.930Rp109.900,4.8,(400)
Maybelline,Superstay Teddy Tint,Rp140.900,4.6,(225)
Mother of Pearl,"G.W.S. (Gleaming, Wonderful, Shiny) Plump Gloss",Rp89.100Rp99.000,4.6,"(1,5k)"
Mother of Pearl,AM to PM Colorfast Hypertint,Rp88.110-Rp89.100,4.6,"(1,4k)"
ESQA,Powder Blush,Rp98.000Rp105.000,4.7,"(4,2k)"
Loreal Paris,Infallible Matte Resistance Liquid Lipstick,Rp156.400,4.8,(298)
Dazzle Me,Get a Grip! Makeup Setting Spray Fix,Rp38.610Rp42.900,4.7,(212)
barenbliss,Lily Makes Luminous Glow Tint,Rp65.610Rp72.900,4.7,(547)
